Title,Location,Price,Area,Rooms
                        Apartment Sprinklerstraat                            ,            1019 VR Amsterdam (Indische Buurt Oost)        ,"                €2,500 per month            ",94 m²,3 rooms
                        Apartment Veldhuizenstraat                            ,            1106 DH Amsterdam (Gein)        ,"                €1,500 per month            ",82 m²,4 rooms
                        Apartment Pieter Calandlaan                            ,            1069 SC Amsterdam (Osdorp-Midden)        ,"                €1,750 per month            ",90 m²,3 rooms
                        Apartment Rustenburgerstraat 146 A22                            ,            1073 GJ Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",55 m²,3 rooms
                        Apartment Groen van Prinstererstraat                            ,            1051 EH Amsterdam (Staatsliedenbuurt)        ,"                €2,400 per month            ",73 m²,3 rooms
                        Apartment Korte Ouderkerkerdijk 1 W2                            ,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €10,500 per month            ",196 m²,4 rooms
                        Apartment Dusartstraat                            ,            1072 HV Amsterdam (Nieuwe Pijp)        ,"                €2,500 per month            ",75 m²,3 rooms
                        Apartment Rheastraat 24                            ,            1076 DS Amsterdam (Stadionbuurt)        ,"                €2,750 per month            ",125 m²,3 rooms
                        Apartment Tolstraat 42 1                            ,            1073 SC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",45 m²,2 rooms
                        Apartment Gillis van Ledenberchstraat                            ,            1052 VG Amsterdam (Frederik Hendrikbuurt)        ,"                €1,850 per month            ",76 m²,3 rooms
                        Apartment Willem Nakkenstraat                            ,            1061 SZ Amsterdam (Overtoomse Veld)        ,"                €2,150 per month            ",90 m²,5 rooms
                        Apartment Banstraat 55 II                            ,            1071 JX Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",75 m²,2 rooms
                        Apartment Prinsengracht 533 II                            ,            1016 HS Amsterdam (Grachtengordel-West)        ,"                €2,150 per month            ",51 m²,3 rooms
                        Apartment Oudezijds Achterburgwal 145 I                            ,            1012 DG Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,975 per month            ",50 m²,2 rooms
                        Studio Sarphatistraat                            ,            1018 AV Amsterdam (Weesperbuurt/Plantage)        ,"                €1,250 per month            ",25 m²,1 room
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,740 per month            ",65 m²,4 rooms
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,450 per month            ",110 m²,4 rooms
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,400 per month            ",129 m²,4 rooms
                        House H. Stolleplantsoen                            ,            1022 KK Amsterdam (Elzenhagen)        ,"                €2,650 per month            ",185 m²,7 rooms
                        Apartment Nieuwe Herengracht                            ,            1011 RP Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",47 m²,3 rooms
                        Apartment Keizersgracht 633 A                            ,            1017 DS Amsterdam (Grachtengordel-Zuid)        ,"                €3,400 per month            ",54 m²,2 rooms
                        Apartment Herenstraat 4 D                            ,            1015 CA Amsterdam (Grachtengordel-West)        ,"                €1,995 per month            ",55 m²,2 rooms
                        Apartment Herengracht 449 B                            ,            1017 BR Amsterdam (Grachtengordel-Zuid)        ,"                €3,850 per month            ",200 m²,5 rooms
                        Apartment Alexanderkade                            ,            1018 ZC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,500 per month            ",102 m²,5 rooms
                        Apartment Johannes Verhulststraat 157 3                            ,            1075 GW Amsterdam (Willemspark)        ,"                €5,500 per month            ",168 m²,4 rooms
                        Apartment Blasiusstraat                            ,            1091 CR Amsterdam (Weesperzijde)        ,"                €2,400 per month            ",66 m²,3 rooms
                        Apartment Nova Zemblastraat                            ,            1013 RJ Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,950 per month            ",60 m²,2 rooms
                        Apartment Jennerstraat                            ,            1097 GB Amsterdam (Frankendael)        ,"                €2,300 per month            ",108 m²,6 rooms
                        Apartment Jacob van Lennepkade                            ,            1054 ZT Amsterdam (Overtoomse Sluis)        ,"                €2,075 per month            ",65 m²,2 rooms
                        Apartment Lauriergracht 142 A                            ,            1016 RT Amsterdam (Jordaan)        ,"                €2,450 per month            ",53 m²,2 rooms
