Date,Open,High,Low,Close,Vol
20200415,363.58,364,364,363.58,6699987426
20200418,381.76,382,382,375.8,9378451
20200419,394.57,395,395,381.64,4344609
20200420,400.7,401,401,391.87,7498654
20200421,411.44,411,411,400.92,6442297
20200422,420.95,421,421,411.02,7030827
20200425,431.54,432,432,423.3,7402722
20200426,444.45,444,444,442.43,11150463
20200427,464.55,465,465,461.26,10511581
20200428,484.31,484,484,484.31,15653896
20200429,508.5,508,508,507.91,12050218
20200502,533.27,533,533,533.27,10159923
20200503,559.9,560,560,559.9,10443688
20200505,587.88,617,588,610.46,159556314
20200510,640.97,641,641,640.97,42964937
20200511,673,673,673,673,35470011
20200512,706.64,707,639,688.91,727044963
20200513,656.25,723,654,656.16,473223138
20200516,658.36,658,623,623.41,57729745
20200517,592.27,655,592,607.67,305079856
20200518,638.02,638,638,638.02,55724282
20200519,651.18,670,628,644.56,341719786
20200520,627.55,675,627,636.45,304185319
20200523,609.83,625,605,608.98,233868755
20200526,578.55,605,579,578.55,27927529
20200527,607.46,607,607,607.46,81393894
20200530,637.81,638,638,637.81,60651681
20200531,636.79,670,606,634.01,142247680
20200601,654.14,663,637,654.77,185194007
20200602,683.22,687,671,684.31,184130376
20200606,718.5,718,718,718.5,74167944
20200607,754.41,754,747,754.33,288209600
20200608,754.41,792,717,771.29,413819700
20200609,768.08,802,743,763.91,254714762
20200610,762.39,785,751,766.23,278226446
20200613,778.21,796,728,777.79,241425631
20200614,783.7,784,739,752.47,279785876
20200615,772.3,786,747,763.86,208839124
20200616,763.86,798,743,772.73,285919886
20200620,781.17,811,781,804.8,217678331
20200621,844.89,845,802,843.63,198851843
20200622,885.41,885,885,885.41,75628443
20200623,929.3,929,885,922.55,190560123
20200624,907.35,969,903,951.24,175939938
20200627,998.51,999,999,998.51,54537095
20200628,1048.31,1048,999,1040.71,285986429
20200629,1042.4,1093,1013,1075.32,100371980
20200630,1128.92,1129,1129,1128.92,20583008
20200701,1185.04,1185,1185,1177.03,4578610
20200708,1235.69,1236,1236,1235.69,219344810
20200711,1297.3,1297,1297,1297.3,20095028
20200712,1361.87,1362,1362,1361.87,188098699
20200713,1429.82,1430,1430,1429.82,224084732
20200714,1501.14,1501,1430,1501.14,234756920
20200715,1561.49,1576,1426,1516.33,528324094
20200718,1518.87,1592,1441,1551.36,191737727
20200719,1628.59,1629,1629,1628.59,74096877
